no.peserta,tahun,jenis.kelamin,kode.asal,kode.pendidikan,pendidikan,skd.twk,skd.tiu,skd.tkp,skd.total,skd.hasil,kode.prodi,nama.prodi,kode.formasi,lokasi.formasi,
S2440160121101731,2024,P,11,3001000,SMA,115,155,204,474,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111502239,2024,L,15,3001000,SMA,90,145,205,440,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103546,2024,P,11,3001000,SMA,105,130,198,433,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111101911,2024,L,11,3001000,SMA,100,135,195,430,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121212277,2024,P,12,3001000,SMA,95,145,189,429,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102590,2024,L,11,3002000,MA,90,140,196,426,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100952,2024,P,11,3001000,SMA,100,140,184,424,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111203103,2024,L,12,3001000,SMA,85,135,201,421,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111101144,2024,L,11,3002000,MA,100,130,188,418,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121206801,2024,P,12,3002000,MA,85,145,187,417,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103465,2024,P,11,3002000,MA,100,125,190,415,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102747,2024,P,11,3002000,MA,100,130,185,415,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102095,2024,L,11,3001000,SMA,80,145,187,412,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102181,2024,P,11,3001000,SMA,90,125,196,411,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121402139,2024,P,14,3001000,SMA,105,120,186,411,P/L,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101560,2024,P,11,3001000,SMA,110,105,193,408,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103023,2024,P,11,3002000,MA,80,160,168,408,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102349,2024,P,11,3001000,SMA,90,135,181,406,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103962,2024,P,11,3001000,SMA,90,125,190,405,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111801679,2024,L,18,3001000,SMA,80,135,188,403,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121204537,2024,P,12,3001000,SMA,85,120,194,399,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103306,2024,P,11,3001000,SMA,75,135,187,397,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111103483,2024,L,11,3002000,MA,85,130,182,397,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111201873,2024,L,12,3001000,SMA,75,135,186,396,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121216664,2024,P,12,3002000,MA,80,135,178,393,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121216149,2024,P,12,3001000,SMA,100,120,173,393,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111215274,2024,L,12,3001000,SMA,65,125,200,390,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104587,2024,P,11,3002000,MA,85,110,195,390,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121209846,2024,P,12,3002000,MA,80,110,199,389,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102109,2024,P,11,3001000,SMA,80,120,189,389,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121202283,2024,P,12,3001000,SMA,80,120,188,388,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111103447,2024,L,11,3002000,MA,70,135,182,387,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111211957,2024,L,12,3002000,MA,100,105,182,387,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111100615,2024,L,11,3001000,SMA,80,115,190,385,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102729,2024,L,11,3001000,SMA,75,105,201,381,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111101896,2024,L,11,3001000,SMA,65,135,180,380,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101669,2024,P,11,3001000,SMA,75,115,188,378,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121211252,2024,P,12,3001000,SMA,70,125,181,376,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102969,2024,L,11,3001000,SMA,85,100,190,375,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102543,2024,L,11,3002000,MA,80,110,185,375,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102974,2024,L,11,3001000,SMA,65,110,197,372,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121204425,2024,P,12,3001000,SMA,70,110,189,369,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111100248,2024,L,11,3001000,SMA,70,125,173,368,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121214251,2024,P,12,3001000,SMA,85,95,186,366,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121216808,2024,P,12,3002000,MA,80,100,184,364,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104082,2024,P,11,3001000,SMA,70,105,187,362,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101605,2024,P,11,3001000,SMA,80,100,182,362,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111103722,2024,L,11,3001000,SMA,80,100,182,362,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111104475,2024,L,11,3001000,SMA,90,80,191,361,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102642,2024,P,11,3001000,SMA,80,95,186,361,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121207022,2024,P,12,3001000,SMA,65,115,181,361,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111203297,2024,L,12,3001000,SMA,80,95,183,358,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100400,2024,P,11,3001000,SMA,65,105,187,357,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104253,2024,P,11,3002000,MA,85,100,172,357,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111217056,2024,L,12,3001000,SMA,95,90,169,354,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111103890,2024,L,11,3001000,SMA,70,120,160,350,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121215928,2024,P,12,3001000,SMA,80,85,184,349,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104244,2024,P,11,3002000,MA,75,85,177,337,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121204605,2024,P,12,3001000,SMA,65,105,167,337,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160123102853,2024,P,31,3001000,SMA,70,100,164,334,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100938,2024,P,11,3001000,SMA,65,80,187,332,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102002,2024,L,11,3001000,SMA,65,80,186,331,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102439,2024,P,11,3002000,MA,70,95,166,331,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103351,2024,P,11,3002000,MA,75,90,165,330,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121218202,2024,P,12,3001000,SMA,70,85,167,322,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102057,2024,L,11,3002000,MA,65,90,164,319,P,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111201868,2024,L,12,3001000,SMA,55,145,189,389,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101191,2024,P,11,3002000,MA,60,125,184,369,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111301249,2024,L,13,3001000,SMA,50,135,181,366,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121306246,2024,P,13,3001000,SMA,60,115,186,361,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121216433,2024,P,12,3001000,SMA,50,125,185,360,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121604089,2024,P,16,3001000,SMA,55,130,174,359,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100875,2024,P,11,3001000,SMA,50,115,193,358,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100990,2024,P,11,3001000,SMA,55,125,177,357,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160111102228,2024,L,11,3001000,SMA,85,70,195,350,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121100312,2024,P,11,3001000,SMA,80,75,193,348,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160123209576,2024,P,32,3001000,SMA,55,115,174,344,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104512,2024,P,11,3001000,SMA,60,95,184,339,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101674,2024,P,11,3001000,SMA,50,110,179,339,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121103012,2024,P,11,3001000,SMA,55,95,186,336,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101001,2024,P,11,3001000,SMA,70,75,184,329,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160123300127,2024,P,33,3001000,SMA,60,95,172,327,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101940,2024,P,11,3001000,SMA,60,85,178,323,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160123201705,2024,P,32,3002000,MA,60,75,186,321,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101588,2024,P,11,3002000,MA,70,70,177,317,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121104280,2024,P,11,3001000,SMA,70,55,191,316,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102145,2024,P,11,3001000,SMA,55,90,169,314,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102200,2024,P,11,3002000,MA,50,80,182,312,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101782,2024,P,11,3002000,MA,70,65,174,309,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101489,2024,P,11,3002000,MA,85,70,154,309,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121101348,2024,P,11,3002000,MA,50,70,187,307,TL,4412070,D-III STATISTIKA,40160002,ACEH,
S2440160121102033,2024,P,11,3001000,SMA,55,70,182,307,TL,4412070,D-III STATISTIKA,40160002,ACEH,
